id,title,year,director
tt0238960,Rutenberg,2003,Eli Cohen
tt0238992,Fortunes,2005,Parker Cross
tt0239004,Ghostlight,2003,Christopher Herrmann
tt0239020,De grot,2001,Martin Koolhoven
tt0239060,Ik ook van jou,2001,Ruud van Hemert
tt0239235,Anji,2004,Kodi Ramakrishna
tt0239238,April Is My Religion,2001,Bill Boll
tt0239395,Cats & Dogs,2001,Lawrence Guterman
tt0239467,The Hollywood Sign,2001,Sönke Wortmann
tt0239670,Mortal Transfer,2001,Jean-Jacques Beineix
tt0240122,Tosca,2001,Benoît Jacquot
tt0240340,The Angel Doll,2002,Alexander Johnston
tt0240389,Brooklyn Babylon,2001,Marc Levin
tt0240402,The Center of the World,2001,Wayne Wang
tt0240419,La Ciénaga,2001,Lucrecia Martel
tt0240462,Dr. Dolittle 2,2001,Steve Carr
tt0241663,To the Left of the Father,2001,Luiz Fernando Carvalho
tt0241760,The New Guy,2002,Ed Decter
tt0241802,Parallel Worlds,2001,Petr Václav
tt0241897,Roads and Bridges,2001,Abraham Lim
tt0241934,Sans Elle...,2003,Anna da Palma
tt0241998,Sweetie Pie,2002,K. Asher Levin
tt0242029,Sleepwalking Land,2007,Teresa Prata
tt0242335,Bui Doi,2001,Roger Dick French
tt0242445,Exit Wounds,2001,Andrzej Bartkowiak
tt0242508,Harvard Man,2001,James Toback
tt0242527,The Hole,2001,Nick Hamm
tt0243210,On the Nose,2001,David Caffrey
tt0243211,Delusional,2003,Serge Rodnunsky
tt0243212,To Love Too Much,2002,Ernesto Rimoch
tt0243222,The Doe Boy,2001,Randy Redroad
tt0243232,Dust,2001,Milcho Manchevski
tt0243462,Mee-Shee: The Water Giant,2005,John Henderson
tt0243493,The Closet,2001,Francis Veber
tt0243508,Pursuit of Happiness,2001,John Putch
tt0243529,Le roman de Lulu,2001,Pierre-Olivier Scotto
tt0243554,When Strangers Appear,2001,Scott Reynolds
tt0243569,Just for Today,2001,Ariel Rotter
tt0243575,Speaking of Sex,2001,John McNaughton
tt0243585,Stuart Little 2,2002,Rob Minkoff
tt0243595,Kill Me Later,2001,Dana Lustig
tt0243609,To End All Wars,2001,David L. Cunningham
tt0243617,TreatShack,2001,Jenifer Wells
tt0243649,Hitler Meets Christ,2007,Brendan Keown
tt0243652,How It All Went Down,2003,Silvio Pollio
tt0243655,Wet Hot American Summer,2001,David Wain
tt0243736,40 Days and 40 Nights,2002,Michael Lehmann
tt0243759,The American Astronaut,2001,Cory McAbee
tt0243828,Come Together,2001,Jeff Macpherson
tt0243859,The Wild Bees,2001,Bohdan Sláma
tt0243885,The Elite,2001,Terry Cunningham
tt0243904,The Final Curtain,2002,Patrick Harkins
tt0243907,Firetrap,2001,Harris Done
tt0243931,Good Advice,2001,Steve Rash
tt0243991,Intimate Affairs,2001,Alan Rudolph
tt0244000,American Outlaws,2001,Les Mayfield
tt0244122,Par 6,2002,Grant Heslov
tt0244167,La fiancée de Dracula,2002,Jean Rollin
tt0244244,Swordfish,2001,Dominic Sena
tt0244273,Two Girls from Lemoore,2003,Luka Pecel
tt0244297,War Bride,2001,Lyndon Chubbuck
tt0244379,The Accidental Detective,2003,Vanna Paoli
tt0244624,Lázaro de Tormes,2001,José Luis García Sánchez
tt0244709,Pavilion of Women,2001,Ho Yim
tt0244970,Someone Like You...,2001,Tony Goldwyn
tt0245046,Charlotte Gray,2001,Gillian Armstrong
tt0246000,Killer Instinct,2001,Ken Barbet
tt0246002,Kingdom Come,2001,Doug McHenry
tt0246005,Klassikko,2001,Kari Väänänen
tt0246037,Lift,2001,Khari Streeter
tt0246076,Metal,2001,Alice Cox-Neff
tt0246108,Nailed,2001,Joel Silverman
tt0246134,Lucky Break,2001,Peter Cattaneo
tt0246158,Doors of Glory,2001,Christian Merret-Palmair
tt0246197,The Right Girl,2001,Reed Oliver
tt0246226,Serenades,2001,Mojgan Khadem
tt0246228,Alex in Wonder,2001,Drew Ann Rosenberg
tt0246878,Quest for the Lost Tribes,2003,Elliott Halpern
tt0246890,King Rikki,2002,James Gavin Bedford
tt0246894,Rollerball,2002,John McTiernan
tt0246965,Sweet Revenge,2001,Gordon McLennan
tt0246978,Thema Nr. 1,2001,Maria Bachmann
tt0247133,The Meeksville Ghost,2001,David Lister
tt0247162,Always Greener,2001,Michael J. Sarna
tt0247199,The Believer,2001,Henry Bean
tt0247254,The Code Conspiracy,2002,Hank Whetstone
tt0247303,The Shaft,2001,Dick Maas
tt0247311,Elvis Is Alive,2001,Don Murray
tt0247389,Green Diggity Dog,2001,Hoot Maynard
tt0247419,Ignition,2001,Yves Simoneau
tt0247425,In the Bedroom,2001,Todd Field
tt0247427,In the Shadows,2001,Ric Roman Waugh
tt0247638,The Princess Diaries,2001,Garry Marshall
tt0247645,The Quickie,2001,Sergei Bodrov
tt0247657,Rebels,2001,Filip Renc
tt0247745,Super Troopers,2001,Jay Chandrasekhar
tt0247786,Two Days, Nine Lives,2001,Simon Monjack
tt0247823,Women in Film,2001,Bruce Wagner
tt0248123,Julietta,2001,Christoph Stark
tt0248124,Just Like Mona,2003,Joe Pantoliano
tt0248126,Kabhi Khushi Kabhie Gham...,2001,Karan Johar
tt0248164,Magik and Rose,2001,Vanessa Alexander
tt0248169,Manna from Heaven,2002,Maria Burton
tt0248174,The Markus Family,2001,Elfi Mikesch
tt0248190,No Such Thing,2001,Hal Hartley
tt0248216,Na Tum Jaano Na Hum,2002,Arjun Sablok
tt0248490,El sueño del caimán,2001,Beto Gómez
tt0248617,Yaadein...,2001,Subhash Ghai
tt0248640,Hard Cash,2002,Predrag Antonijevic
tt0248661,3 A.M.,2001,Lee Davis
tt0248667,Ali,2001,Michael Mann
tt0248742,Crash Point Zero,2001,Jim Wynorski
tt0248770,Kites Over Helsinki,2001,Peter Lindholm
tt0248845,Hedwig and the Angry Inch,2001,John Cameron Mitchell
tt0248928,The River,2001,Jarmo Lampela
tt0249371,Ashoka the Great,2001,Santosh Sivan
tt0249783,Sri Manjunatha,2001,K. Raghavendra Rao
tt0250125,Under the Skin of the City,2001,Rakhshan Banietemad
tt0250181,97 Brooks,2002,Mikon A. Haaksman
tt0250202,All Over the Guy,2001,Julie Davis
tt0250214,Anthrax,2001,Rick Stevenson
tt0251636,Chico,2001,Ibolya Fekete
tt0251661,One Day in August,2001,Constantine Giannaris
tt0251677,Cuban Blood,2003,Juan Gerard
tt0251690,Ethirum Puthirum,2001,V.C. Ramani
tt0251696,Fast Sofa,2001,Salomé Breziner
tt0252225,Almost Salinas,2001,Terry Green
tt0252299,Buffalo Soldiers,2001,Gregor Jordan
